,username,password,first_name,last_name,age,drug_type,use_duration,med_insurer,state,gender,zipcode,year_signed_up,years_from_first_litigation,copay_or_coinsurance,personal_spending_per_year,total_spending,income,est_settle
0,user0@gmail.com,52sda24sdf,User0,Last0,37,AMPHETAMINE,9,Medicaid,KY,F,41421,2018,9,coinsurance,354.1949801,2361.299867,35291.33917,
1,user1@hotmail.com,12345,User1,Last1,70,METHADONE,12,Medicaid,PA,M,15647,2016,7,copay,445.4466025,2258.553398,59248.19419,
2,user2@yahoo.com,abcdef^,User2,Last2,30,TAPENTADOL,9,Other,AR,F,72661,2017,8,coinsurance,382.7447818,2551.631879,58972.51458,
3,user3@hotmail.com,12345,User3,Last3,27,METHYLPHENIDATE,6,Other,WV,M,25837,2016,7,copay,405.2718784,2298.728122,61698.48297,
4,user4@gmail.com,asd1we5,User4,Last4,26,HYDROCODONE,2,Other,KY,F,42733,2018,9,coinsurance,418.219287,2788.12858,60627.49973,
5,user5@gmail.com,sdjh29023,User5,Last5,45,OXYCODONE,8,Medicare,VA,M,23967,2017,8,coinsurance,414.4476838,2762.984559,41133.05365,
6,user6@gmail.com,52sda24sdf,User6,Last6,44,METHYLPHENIDATE,2,Other,AR,F,71970,2018,9,coinsurance,396.3959516,2642.639677,58763.08837,
7,user7@gmail.com,12345,User7,Last7,17,Other,6,Medicaid,AL,F,36115,2016,7,copay,429.2823183,2274.717682,36934.60631,
8,user8@gmail.com,abcdef^,User8,Last8,69,GAMMA HYDROXYBUTYRIC ACID,9,Medicaid,WV,M,26884,2017,8,coinsurance,446.2448353,2974.965568,37744.74157,
9,user9@hotmail.com,asd1we5,User9,Last9,36,PENTOBARBITAL,5,Medicare,AR,M,72584,2016,7,copay,352.0040569,2351.995943,56434.64163,
10,user10@hotmail.com,52sda24sdf,User10,Last10,62,OXYCODONE,8,Medicaid,WV,F,26676,2018,9,coinsurance,443.952006,2959.68004,37608.83959,
11,user11@gmail.com,sdjh29023,User11,Last11,38,GAMMA HYDROXYBUTYRIC ACID,6,Other,PA,M,16420,2017,8,coinsurance,421.7013521,2811.342348,54369.89895,
12,user12@gmail.com,52sda24sdf,User12,Last12,35,METHYLPHENIDATE,1,Other,IA,M,50848,2018,9,coinsurance,439.8931345,2932.620897,64676.52716,
13,user13@gmail.com,12345,User13,Last13,55,OXYCODONE,1,Medicaid,TX,M,76445,2016,7,copay,406.0282567,2297.971743,47030.76279,
14,user14@yahoo.com,asd1we5,User14,Last14,67,METHYLPHENIDATE,3,Medicare,KS,F,66933,2017,8,coinsurance,411.894019,2745.960127,35562.07353,
15,user15@yahoo.com,12345,User15,Last15,39,CODEINE,7,Other,IL,F,62087,2016,7,copay,355.0316123,2348.968388,35471.12778,
16,user16@yahoo.com,52sda24sdf,User16,Last16,36,PENTOBARBITAL,3,Other,OH,M,43782,2018,9,coinsurance,378.1739222,2521.159481,50206.59191,
17,user17@hotmail.com,sdjh29023,User17,Last17,20,OXYCODONE,1,Other,VT,M,5652,2017,8,coinsurance,374.1289386,2494.192924,41069.99757,
18,user18@yahoo.com,52sda24sdf,User18,Last18,35,GAMMA HYDROXYBUTYRIC ACID,8,Medicaid,KS,M,66833,2018,9,coinsurance,368.978737,2459.858246,73524.79057,
19,user19@hotmail.com,asd1we5,User19,Last19,40,MORPHINE,8,Other,MI,F,49817,2016,7,copay,375.4159882,2328.584012,45102.90624,
20,user20@yahoo.com,abcdef^,User20,Last20,34,OXYCODONE,2,Other,AR,M,72854,2017,8,coinsurance,420.4034915,2802.689943,68839.70478,
21,user21@gmail.com,12345,User21,Last21,39,GAMMA HYDROXYBUTYRIC ACID,3,Other,WI,F,54103,2016,7,copay,382.6429321,2321.357068,55531.2388,
22,user22@gmail.com,52sda24sdf,User22,Last22,40,CODEINE,3,Other,OH,M,44093,2018,9,coinsurance,369.258225,2461.7215,42576.07087,
23,user23@yahoo.com,sdjh29023,User23,Last23,32,MORPHINE,3,Medicaid,AL,F,36790,2017,8,coinsurance,421.2453486,2808.302324,39943.91681,
24,user24@yahoo.com,asd1we5,User24,Last24,57,AMPHETAMINE,2,Other,AL,M,36793,2018,9,coinsurance,404.9178705,2699.45247,38689.11437,
25,user25@gmail.com,12345,User25,Last25,40,AMPHETAMINE,4,Medicaid,NE,F,68453,2016,7,copay,444.0674928,2259.932507,57079.06718,
26,user26@gmail.com,abcdef^,User26,Last26,25,MORPHINE,8,Other,KS,F,67649,2017,8,coinsurance,363.9336655,2426.224437,38656.85204,
27,user27@gmail.com,12345,User27,Last27,43,Other,5,Other,KS,M,66058,2016,7,copay,415.4152178,2288.584782,74335.69061,
28,user28@gmail.com,52sda24sdf,User28,Last28,67,MORPHINE,2,Medicaid,SC,F,29592,2018,9,coinsurance,352.0463096,2346.975398,50331.06319,
29,user29@yahoo.com,sdjh29023,User29,Last29,51,OXYCODONE,4,Other,MO,F,63751,2017,8,coinsurance,431.6425109,2877.616739,65525.55255,
30,user30@yahoo.com,52sda24sdf,User30,Last30,34,TAPENTADOL,5,Other,IA,M,52038,2018,9,coinsurance,394.560085,2630.400567,48508.8196,
31,user31@gmail.com,12345,User31,Last31,34,METHADONE,8,Medicaid,AZ,F,85333,2016,7,copay,449.8074096,2254.19259,52184.45217,
32,user32@gmail.com,abcdef^,User32,Last32,43,AMPHETAMINE,9,Other,MI,F,49834,2017,8,coinsurance,388.4163907,2589.442605,53294.8693,
33,user33@gmail.com,12345,User33,Last33,33,LISDEXAMFETAMINE,5,Medicaid,NE,F,68746,2016,7,copay,368.6604358,2335.339564,70934.57916,
34,user34@gmail.com,asd1we5,User34,Last34,46,HYDROCODONE,2,Medicare,AL,F,36030,2018,9,coinsurance,401.886177,2679.24118,47664.54444,
35,user35@yahoo.com,sdjh29023,User35,Last35,53,OXYCODONE,3,Other,OH,F,45033,2017,8,coinsurance,396.5508682,2643.672454,46580.6378,
36,user36@gmail.com,52sda24sdf,User36,Last36,47,LISDEXAMFETAMINE,1,Medicare,MO,F,64651,2018,9,coinsurance,389.892656,2599.284373,51340.87796,
37,user37@yahoo.com,12345,User37,Last37,42,OXYCODONE,6,Medicaid,ND,M,58442,2016,7,copay,367.4655223,2336.534478,65707.51907,
38,user38@yahoo.com,abcdef^,User38,Last38,29,OXYCODONE,4,Other,IL,F,61940,2017,8,coinsurance,428.4003913,2856.002609,73017.34697,
39,user39@gmail.com,asd1we5,User39,Last39,52,OXYCODONE,11,Other,PA,F,17862,2016,7,copay,397.7003461,2306.299654,49416.9112,
40,user40@yahoo.com,52sda24sdf,User40,Last40,27,OXYCODONE,6,Medicaid,AR,M,72358,2018,9,coinsurance,354.2244148,2361.496099,42984.89653,
41,user41@gmail.com,sdjh29023,User41,Last41,27,OXYCODONE,7,Other,PA,F,15429,2017,8,coinsurance,433.1220022,2887.480014,42899.34418,
42,user42@gmail.com,52sda24sdf,User42,Last42,74,TAPENTADOL,5,Other,ME,F,4095,2018,9,coinsurance,423.6308544,2824.205696,71758.03721,
43,user43@gmail.com,12345,User43,Last43,31,HYDROCODONE,8,Other,VA,F,24150,2016,7,copay,435.7210447,2268.278955,66630.18163,
44,user44@yahoo.com,asd1we5,User44,Last44,32,GAMMA HYDROXYBUTYRIC ACID,4,Medicare,MO,F,64637,2017,8,coinsurance,448.3413764,2988.94251,40075.3785,
45,user45@yahoo.com,12345,User45,Last45,26,OXYCODONE,7,Other,VA,F,24377,2016,7,copay,368.0729778,2335.927022,56615.85605,
46,user46@gmail.com,52sda24sdf,User46,Last46,52,METHYLPHENIDATE,2,Other,VT,M,5748,2018,9,coinsurance,427.9375387,2852.916925,73718.64838,
47,user47@gmail.com,sdjh29023,User47,Last47,28,LISDEXAMFETAMINE,9,Medicaid,KY,M,41052,2017,8,coinsurance,391.5544405,2610.362936,43984.93029,
48,user48@yahoo.com,52sda24sdf,User48,Last48,21,METHYLPHENIDATE,6,Medicaid,SC,F,29904,2018,9,coinsurance,440.7734938,2938.489959,47791.71734,
49,user49@hotmail.com,asd1we5,User49,Last49,38,METHYLPHENIDATE,5,Other,MO,M,64656,2016,7,copay,352.5698147,2351.430185,39442.62504,
50,user50@gmail.com,abcdef^,User50,Last50,46,GAMMA HYDROXYBUTYRIC ACID,1,Medicaid,WV,F,26629,2017,8,coinsurance,395.6543795,2637.695864,43526.27954,
51,user51@gmail.com,12345,User51,Last51,30,HYDROCODONE,1,Medicaid,PA,F,15620,2016,7,copay,438.7735885,2265.226412,56953.97242,
